state,action_0,action_1,action_2,action_3
569,0.0,0.0,0.0,0.0
570,0.0,0.0,0.0,0.0
571,0.0,0.0,0.0,0.0
572,0.0,0.0,0.0,0.0
573,0.0,0.0,0.0,0.0
574,0.0,0.0,0.0,0.0
575,0.0,0.0,0.0,0.0
576,-0.16959400000000002,0.9190822423490516,0.0,14.030837716616002
577,0.85030465,-0.11000000000000001,0.01974999999999999,-0.1
578,0.6722410951280009,-0.626486069,0.0,-0.6125795110000001
579,-0.21000000000000002,-0.21000000000000002,-0.1,5.657140000000001
580,0.157489,-0.42000000000000004,-0.4907100000000001,-0.4
581,-0.4705523894,-0.42000000000000004,-0.4000000000000001,-0.4
582,-0.31000000000000005,-0.31000000000000005,-0.25,5.3236300000000005
583,0.11332676099999991,-0.9300000000000002,-1.0000000000000002,-0.9000000000000001
584,-1.4599974840000005,-1.5500000000000003,-1.4000000000000004,-1.5000000000000004
585,-0.41,-0.41,-0.30000000000000004,2.2800000000000002
586,0.15468280000000034,0.0,0.0,0.0
587,-1.9209099381949666,-2.01269,-1.8000000000000005,-2.0000000000000004
588,-0.399,-0.02720000000000003,-0.1,4.7062
589,0.19970362,-0.21000000000000002,-0.30000000000000004,-0.4
590,-0.6264100000000001,-0.6190000000000001,-0.5000000000000001,-0.6000000000000001
591,-0.31000000000000005,-0.31000000000000005,-0.2,3.4920000000000004
592,-0.5931000000000002,-0.6200000000000001,-0.6000000000000001,-0.6000000000000001
593,0.0,0.0,0.0,0.0
594,-0.41,-0.41,-0.30000000000000004,1.159
595,-0.659,-0.7789999999999999,-0.6000000000000001,-0.8
596,-1.9887392000000002,-2.0452000000000004,-1.8000000000000005,-2.0000000000000004
597,-0.51,-0.51,-0.4,2.0900000000000003
598,-0.9690000000000001,-0.9690000000000001,-1.1700000000000002,-1.0
599,-2.363301,-2.04,-1.9862100000000003,-2.0
600,-0.6670000000000001,-0.31000000000000005,-0.2,3.4389900000000004
601,-0.31000000000000005,0.0,0.0,0.0
602,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
603,0.0,0.0,0.0,0.0
604,-0.4443,-0.41,-0.6000000000000001,-0.8
605,-1.1111,-0.8200000000000001,-0.9000000000000001,-0.8
606,0.0,0.0,0.0,0.0
607,0.0,0.0,0.0,0.0
608,-0.51,0.0,0.0,0.0
609,-0.61,-0.61,-0.5,1.0
610,-0.61,0.0,0.0,0.0
611,-0.61,0.0,-0.5,0.0
612,0.0,0.0,0.0,0.0
